repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,0,0.9578947368421052,0.9587857067566143,0.9771428571428571,0.9553072625698324,0.9661633754168121,breast_cancer,knn,kpca,9.0
0,1,0.9471830985915493,0.9464172143311427,0.9657142857142857,0.949438202247191,0.9575416624424243,breast_cancer,knn,kpca,9.0
1,0,0.968421052631579,0.9594708548540107,0.956989247311828,0.994413407821229,0.9755218801583222,breast_cancer,knn,kpca,9.0
1,1,0.9471830985915493,0.9483252066991732,0.9710982658959537,0.9438202247191011,0.9573620963576156,breast_cancer,knn,kpca,9.0
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,knn,kpca,9.0
2,1,0.9295774647887324,0.936188255246979,0.9759036144578314,0.9101123595505618,0.9424340514052634,breast_cancer,knn,kpca,9.0
3,0,0.9333333333333333,0.931537893960156,0.9545454545454546,0.9385474860335196,0.946512671161015,breast_cancer,knn,kpca,9.0
3,1,0.9507042253521126,0.9492262030951877,0.9659090909090909,0.9550561797752809,0.9604673062493334,breast_cancer,knn,kpca,9.0
4,0,0.9473684210526315,0.944634763360388,0.9606741573033708,0.9553072625698324,0.957986951599584,breast_cancer,knn,kpca,9.0
4,1,0.9647887323943662,0.9642781428874285,0.9772727272727273,0.9662921348314607,0.9717669216169726,breast_cancer,knn,kpca,9.0
0,0,0.9614035087719298,0.9615790028459998,0.9772727272727273,0.9608938547486033,0.9690486871410391,breast_cancer,knn,kpca,15.0
0,1,0.9401408450704225,0.9369832520669917,0.9548022598870056,0.949438202247191,0.9521164535542246,breast_cancer,knn,kpca,15.0
1,0,0.9649122807017544,0.9566775587646252,0.9567567567567568,0.9888268156424581,0.9726596203853585,breast_cancer,knn,kpca,15.0
1,1,0.9366197183098591,0.9360822556709774,0.9597701149425287,0.9382022471910112,0.9489249067370166,breast_cancer,knn,kpca,15.0
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,knn,kpca,15.0
2,1,0.9330985915492958,0.9351812592749629,0.9649122807017544,0.9269662921348315,0.9457489936962498,breast_cancer,knn,kpca,15.0
3,0,0.9298245614035088,0.9210498577000106,0.9344262295081968,0.9553072625698324,0.944809061866431,breast_cancer,knn,kpca,15.0
3,1,0.9507042253521126,0.9492262030951877,0.9659090909090909,0.9550561797752809,0.9604673062493334,breast_cancer,knn,kpca,15.0
4,0,0.9403508771929825,0.937124486138927,0.9550561797752809,0.9497206703910615,0.9523846887247326,breast_cancer,knn,kpca,15.0
4,1,0.9753521126760564,0.9727051091795633,0.9776536312849162,0.9831460674157303,0.9803960030989894,breast_cancer,knn,kpca,15.0
0,0,0.9508771929824561,0.9512754295351533,0.9714285714285714,0.9497206703910615,0.9605132971980003,breast_cancer,knn,kpca,21.0
0,1,0.9507042253521126,0.9492262030951877,0.9659090909090909,0.9550561797752809,0.9604673062493334,breast_cancer,knn,kpca,21.0
1,0,0.968421052631579,0.9594708548540107,0.956989247311828,0.994413407821229,0.9755218801583222,breast_cancer,knn,kpca,21.0
1,1,0.926056338028169,0.925747297010812,0.953757225433526,0.9269662921348315,0.9402663446369439,breast_cancer,knn,kpca,21.0
2,0,0.9789473684210527,0.9736217982502371,0.9726775956284153,0.994413407821229,0.9834854562118404,breast_cancer,knn,kpca,21.0
2,1,0.9436619718309859,0.9493322026711893,0.9821428571428571,0.9269662921348315,0.9541558167471516,breast_cancer,knn,kpca,21.0
3,0,0.9438596491228071,0.9399177822283125,0.9553072625698324,0.9553072625698324,0.9553072625698324,breast_cancer,knn,kpca,21.0
3,1,0.954225352112676,0.9539431842272631,0.9714285714285714,0.9550561797752809,0.963207589439125,breast_cancer,knn,kpca,21.0
4,0,0.9403508771929825,0.9352008010962369,0.95,0.9553072625698324,0.9526499354124477,breast_cancer,knn,kpca,21.0
4,1,0.971830985915493,0.9679881280474878,0.9722222222222222,0.9831460674157303,0.9776688879329034,breast_cancer,knn,kpca,21.0
0,0,0.9649122807017544,0.9566775587646252,0.9567567567567568,0.9888268156424581,0.9726596203853585,breast_cancer,knn,none,
0,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,knn,none,
1,0,0.9614035087719298,0.9481132075471699,0.9421052631578948,1.0,0.9706210708396428,breast_cancer,knn,none,
1,1,0.9507042253521126,0.9435022259910961,0.9505494505494505,0.9719101123595506,0.9611704444513604,breast_cancer,knn,none,
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,knn,none,
2,1,0.9577464788732394,0.9510281958872164,0.9560439560439561,0.9775280898876404,0.9667263429742006,breast_cancer,knn,none,
3,0,0.9473684210526315,0.9388637082323179,0.9456521739130435,0.9720670391061452,0.9587686419152128,breast_cancer,knn,none,
3,1,0.971830985915493,0.9622641509433962,0.956989247311828,1.0,0.9782582722940951,breast_cancer,knn,none,
4,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,knn,none,
4,1,0.971830985915493,0.9660801356794573,0.967032967032967,0.9887640449438202,0.977838140019881,breast_cancer,knn,none,
0,0,0.9403508771929825,0.9198113207547169,0.9132653061224489,1.0,0.9556491543042608,breast_cancer,mlp,kpca,9.0
0,1,0.9014084507042254,0.8679245283018868,0.8640776699029126,1.0,0.9295577819064894,breast_cancer,mlp,kpca,9.0
1,0,0.9614035087719298,0.9538842626752397,0.9565217391304348,0.9832402234636871,0.9697889711326291,breast_cancer,mlp,kpca,9.0
1,1,0.9295774647887324,0.9094763620945516,0.9072164948453608,0.9887640449438202,0.9471130086125168,breast_cancer,mlp,kpca,9.0
2,0,0.9438596491228071,0.9245283018867925,0.9179487179487179,1.0,0.9580964032646808,breast_cancer,mlp,kpca,9.0
2,1,0.926056338028169,0.9009433962264151,0.8944723618090452,1.0,0.9457654898594288,breast_cancer,mlp,kpca,9.0
3,0,0.9403508771929825,0.921735005797407,0.9175257731958762,0.994413407821229,0.9551962787236555,breast_cancer,mlp,kpca,9.0
3,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,mlp,kpca,9.0
4,0,0.8807017543859649,0.8877147675766839,0.9447852760736196,0.8603351955307262,0.9015719745119347,breast_cancer,mlp,kpca,9.0
4,1,0.8169014084507042,0.8024167903328386,0.85,0.8595505617977528,0.8547619420213384,breast_cancer,mlp,kpca,9.0
0,0,0.856140350877193,0.8066037735849056,0.8136363636363636,1.0,0.9020179397530648,breast_cancer,mlp,kpca,15.0
0,1,0.8838028169014085,0.8481556073775705,0.8502415458937198,0.9887640449438202,0.9168905442293324,breast_cancer,mlp,kpca,15.0
1,0,0.9473684210526315,0.9330926531042479,0.9315789473684211,0.9888268156424581,0.9597761426738367,breast_cancer,mlp,kpca,15.0
1,1,0.9366197183098591,0.9246343014627942,0.9301075268817204,0.9719101123595506,0.9507791073420139,breast_cancer,mlp,kpca,15.0
2,0,0.9754385964912281,0.9689048171181617,0.967391304347826,0.994413407821229,0.9808093003500453,breast_cancer,mlp,kpca,15.0
2,1,0.954225352112676,0.9577591689633241,0.9824561403508771,0.9438202247191011,0.9629444299452724,breast_cancer,mlp,kpca,15.0
3,0,0.9578947368421052,0.9491672815431643,0.9513513513513514,0.9832402234636871,0.9671643682927858,breast_cancer,mlp,kpca,15.0
3,1,0.9507042253521126,0.9339622641509434,0.9270833333333334,1.0,0.962851667357612,breast_cancer,mlp,kpca,15.0
4,0,0.9298245614035088,0.9075840624011806,0.9035532994923858,0.994413407821229,0.947895308405068,breast_cancer,mlp,kpca,15.0
4,1,0.9647887323943662,0.9585541657833369,0.9615384615384616,0.9831460674157303,0.9722822414970408,breast_cancer,mlp,kpca,15.0
0,0,0.9543859649122807,0.9444503004110889,0.946236559139785,0.9832402234636871,0.9645609601565432,breast_cancer,mlp,kpca,21.0
0,1,0.9436619718309859,0.9283442866228535,0.9263157894736842,0.9887640449438202,0.9570306927655603,breast_cancer,mlp,kpca,21.0
1,0,0.9298245614035088,0.9075840624011806,0.9035532994923858,0.994413407821229,0.947895308405068,breast_cancer,mlp,kpca,21.0
1,1,0.9436619718309859,0.930252278990884,0.9308510638297872,0.9831460674157303,0.9566412926243588,breast_cancer,mlp,kpca,21.0
2,0,0.968421052631579,0.9594708548540107,0.956989247311828,0.994413407821229,0.9755218801583222,breast_cancer,mlp,kpca,21.0
2,1,0.926056338028169,0.9219313122747509,0.943502824858757,0.9382022471910112,0.9408488032163047,breast_cancer,mlp,kpca,21.0
3,0,0.9403508771929825,0.939048171181617,0.9602272727272727,0.9441340782122905,0.9521466751560209,breast_cancer,mlp,kpca,21.0
3,1,0.9119718309859155,0.8820754716981132,0.8768472906403941,1.0,0.9364012444675595,breast_cancer,mlp,kpca,21.0
4,0,0.9578947368421052,0.9530146516285443,0.9613259668508287,0.9720670391061452,0.9666815847074658,breast_cancer,mlp,kpca,21.0
4,1,0.897887323943662,0.8632075471698113,0.8599033816425121,1.0,0.9273097549592111,breast_cancer,mlp,kpca,21.0
0,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,mlp,none,
0,1,0.9401408450704225,0.927443290226839,0.93048128342246,0.9775280898876404,0.9537146279994647,breast_cancer,mlp,none,
1,0,0.9543859649122807,0.9425266153683989,0.9414893617021277,0.9888268156424581,0.9648678290279791,breast_cancer,mlp,none,
1,1,0.9577464788732394,0.9491202035191859,0.9510869565217391,0.9831460674157303,0.9669836612242957,breast_cancer,mlp,none,
