repeat,fold,accuracy,bac,precision,recall,gmean_pdf,dataset,classifier,reducer,n_components
0,0,0.9228070175438596,0.8981501001370296,0.8944723618090452,0.994413407821229,0.9431199868036071,breast_cancer,knn,ica,9.0
0,1,0.9436619718309859,0.926436294254823,0.921875,0.9943820224719101,0.9574423883275129,breast_cancer,knn,ica,9.0
1,0,0.9298245614035088,0.9075840624011806,0.9035532994923858,0.994413407821229,0.947895308405068,breast_cancer,knn,ica,9.0
1,1,0.9190140845070423,0.8991414034343863,0.9015544041450777,0.9775280898876404,0.9387730048386178,breast_cancer,knn,ica,9.0
2,0,0.9228070175438596,0.9058448403077897,0.9109947643979057,0.9720670391061452,0.9410355908622546,breast_cancer,knn,ica,9.0
2,1,0.9049295774647887,0.8726415094339622,0.8682926829268293,1.0,0.9318222378366108,breast_cancer,knn,ica,9.0
3,0,0.9087719298245615,0.8850532307367978,0.8883248730964467,0.9776536312849162,0.9319195447802634,breast_cancer,knn,ica,9.0
3,1,0.9190140845070423,0.8915094339622642,0.8855721393034826,1.0,0.9410484255889717,breast_cancer,knn,ica,9.0
4,0,0.9087719298245615,0.8773584905660378,0.8731707317073171,1.0,0.9344360500897411,breast_cancer,knn,ica,9.0
4,1,0.926056338028169,0.9104833580665678,0.9153439153439153,0.9719101123595506,0.943203057464052,breast_cancer,knn,ica,9.0
0,0,0.8736842105263158,0.8359597343733529,0.8421052631578947,0.9832402234636871,0.9099405294453673,breast_cancer,knn,ica,15.0
0,1,0.8767605633802817,0.836813652745389,0.8388625592417062,0.9943820224719101,0.91331804330952,breast_cancer,knn,ica,15.0
1,0,0.8947368421052632,0.8604142510804258,0.8599033816425121,0.994413407821229,0.9247158764378004,breast_cancer,knn,ica,15.0
1,1,0.8943661971830986,0.8623065507737968,0.8627450980392157,0.9887640449438202,0.9236077808749272,breast_cancer,knn,ica,15.0
2,0,0.9052631578947369,0.8784125645620322,0.88,0.9832402234636871,0.9301889037437743,breast_cancer,knn,ica,15.0
2,1,0.8732394366197183,0.8320966716133136,0.8349056603773585,0.9943820224719101,0.9111614451562815,breast_cancer,knn,ica,15.0
3,0,0.8912280701754386,0.8556972699483503,0.8557692307692307,0.994413407821229,0.9224903235686446,breast_cancer,knn,ica,15.0
3,1,0.9014084507042254,0.8679245283018868,0.8640776699029126,1.0,0.9295577819064894,breast_cancer,knn,ica,15.0
4,0,0.8701754385964913,0.8254716981132075,0.8287037037037037,1.0,0.9103316448985522,breast_cancer,knn,ica,15.0
4,1,0.9119718309859155,0.8839834640661437,0.8805970149253731,0.9943820224719101,0.9357616366811686,breast_cancer,knn,ica,15.0
0,0,0.8350877192982457,0.7783018867924528,0.7920353982300885,1.0,0.889963706130811,breast_cancer,knn,ica,21.0
0,1,0.8450704225352113,0.7924528301886793,0.8018018018018018,1.0,0.8954338623269738,breast_cancer,knn,ica,21.0
1,0,0.8315789473684211,0.7755085907030673,0.7911111111111111,0.994413407821229,0.8869563100656305,breast_cancer,knn,ica,21.0
1,1,0.823943661971831,0.7660589357642569,0.7831858407079646,0.9943820224719101,0.8824884816554542,breast_cancer,knn,ica,21.0
2,0,0.8631578947368421,0.8160377358490566,0.8211009174311926,1.0,0.9061461898784283,breast_cancer,knn,ica,21.0
2,1,0.8028169014084507,0.7358490566037736,0.7606837606837606,1.0,0.8721718641894846,breast_cancer,knn,ica,21.0
3,0,0.8245614035087719,0.7679983134816064,0.7866666666666666,0.9888268156424581,0.8819734094472843,breast_cancer,knn,ica,21.0
3,1,0.8591549295774648,0.8113207547169812,0.8165137614678899,1.0,0.903611510256421,breast_cancer,knn,ica,21.0
4,0,0.8105263157894737,0.7472067039106145,0.7705627705627706,0.994413407821229,0.875361611344416,breast_cancer,knn,ica,21.0
4,1,0.8697183098591549,0.8292876828492686,0.8341232227488151,0.9887640449438202,0.9081580543642684,breast_cancer,knn,ica,21.0
0,0,0.9649122807017544,0.9566775587646252,0.9567567567567568,0.9888268156424581,0.9726596203853585,breast_cancer,knn,none,
0,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,knn,none,
1,0,0.9614035087719298,0.9481132075471699,0.9421052631578948,1.0,0.9706210708396428,breast_cancer,knn,none,
1,1,0.9507042253521126,0.9435022259910961,0.9505494505494505,0.9719101123595506,0.9611704444513604,breast_cancer,knn,none,
2,0,0.9719298245614035,0.9641878359860863,0.9621621621621622,0.994413407821229,0.9781548724779311,breast_cancer,knn,none,
2,1,0.9577464788732394,0.9510281958872164,0.9560439560439561,0.9775280898876404,0.9667263429742006,breast_cancer,knn,none,
3,0,0.9473684210526315,0.9388637082323179,0.9456521739130435,0.9720670391061452,0.9587686419152128,breast_cancer,knn,none,
3,1,0.971830985915493,0.9622641509433962,0.956989247311828,1.0,0.9782582722940951,breast_cancer,knn,none,
4,0,0.9614035087719298,0.9500368925898598,0.9468085106382979,0.994413407821229,0.9703190597004534,breast_cancer,knn,none,
4,1,0.971830985915493,0.9660801356794573,0.967032967032967,0.9887640449438202,0.977838140019881,breast_cancer,knn,none,
0,0,0.9578947368421052,0.9453199114577844,0.9417989417989417,0.994413407821229,0.9677486735701128,breast_cancer,mlp,ica,9.0
0,1,0.9647887323943662,0.9566461734153063,0.9565217391304348,0.9887640449438202,0.9725092821455774,breast_cancer,mlp,ica,9.0
1,0,0.968421052631579,0.9594708548540107,0.956989247311828,0.994413407821229,0.9755218801583222,breast_cancer,mlp,ica,9.0
1,1,0.9507042253521126,0.9377782488870045,0.9361702127659575,0.9887640449438202,0.962107814296498,breast_cancer,mlp,ica,9.0
2,0,0.9403508771929825,0.927506060925477,0.9308510638297872,0.9776536312849162,0.9539653676830301,breast_cancer,mlp,ica,9.0
2,1,0.9436619718309859,0.930252278990884,0.9308510638297872,0.9831460674157303,0.9566412926243588,breast_cancer,mlp,ica,9.0
3,0,0.9403508771929825,0.925582375882787,0.9263157894736842,0.9832402234636871,0.9543536785909336,breast_cancer,mlp,ica,9.0
3,1,0.9612676056338029,0.9500211999152004,0.946524064171123,0.9943820224719101,0.9701579836546279,breast_cancer,mlp,ica,9.0
4,0,0.9298245614035088,0.9075840624011806,0.9035532994923858,0.994413407821229,0.947895308405068,breast_cancer,mlp,ica,9.0
4,1,0.9436619718309859,0.9340682637269451,0.9402173913043478,0.9719101123595506,0.9559324193817323,breast_cancer,mlp,ica,9.0
0,0,0.8105263157894737,0.7549014440813745,0.7802690582959642,0.9720670391061452,0.8709040321435526,breast_cancer,mlp,ica,15.0
